,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197106,  -99.99,   -3.11,   -0.67,    0.64,   -3.17,   -1.34,   -1.49,    0.26,    0.66,   -3.56,   -1.81,   -2.76,    0.28,   -1.35,   -1.63,   -0.08,    0.61,    0.56,    0.76
197107,  -99.99,   -6.52,   -4.75,   -4.12,   -6.70,   -5.46,   -4.70,   -4.43,   -3.81,   -6.76,   -6.50,   -5.54,   -5.37,   -3.68,   -5.75,   -4.13,   -4.73,   -3.69,   -3.92
197108,  -99.99,    3.70,    5.39,    4.39,    3.35,    5.36,    5.35,    5.43,    4.13,    2.79,    5.28,    5.66,    5.01,    4.08,    6.67,    5.93,    4.90,    3.94,    4.32
197109,  -99.99,   -0.54,   -0.58,   -0.80,   -0.38,   -1.03,   -0.44,   -0.62,   -1.02,   -0.46,   -0.12,   -1.40,   -0.59,   -0.65,   -0.22,   -0.84,   -0.38,   -0.92,   -1.11
197110,  -99.99,   -6.51,   -5.35,   -4.45,   -6.69,   -5.08,   -6.27,   -4.21,   -4.70,   -6.85,   -6.11,   -5.53,   -4.56,   -5.93,   -6.62,   -4.45,   -3.96,   -5.58,   -3.83
197111,  -99.99,   -4.96,   -1.67,   -0.68,   -5.17,   -2.63,   -2.04,   -1.42,   -0.26,   -5.59,   -3.73,   -3.76,   -1.32,   -1.93,   -2.15,   -1.35,   -1.49,   -1.02,    0.50
197112,  -99.99,   12.79,   11.80,    9.55,   12.50,   13.46,   11.63,   10.84,    9.26,   12.44,   12.70,   14.45,   12.32,   10.82,   12.46,   11.51,   10.12,   10.15,    8.37
197201,  -99.99,   15.46,    5.63,    2.04,   16.70,    7.93,    5.41,    3.31,    1.73,   18.17,   11.69,    8.34,    7.46,    5.82,    4.99,    3.92,    2.66,    1.99,    1.47
197202,  -99.99,    4.90,    3.46,    2.86,    5.10,    3.93,    3.10,    2.74,    3.31,    5.61,    3.32,    3.81,    4.06,    2.28,    3.96,    3.48,    1.97,    3.31,    3.31
197203,  -99.99,   -0.65,    0.77,    0.38,   -0.82,    0.29,    1.07,    0.97,   -0.02,   -0.87,   -0.67,    0.34,    0.23,    0.78,    1.37,    0.81,    1.15,   -0.27,    0.23
197204,  -99.99,   -0.01,    0.22,    0.39,   -0.24,    0.76,    0.04,    0.06,    0.89,   -0.11,   -0.65,    1.30,    0.14,    0.44,   -0.38,    0.70,   -0.60,    1.04,    0.74
197205,  -99.99,   -3.22,   -0.80,    0.47,   -3.13,   -2.58,   -1.31,    0.03,    1.09,   -3.41,   -2.19,   -3.75,   -1.25,   -1.71,   -0.90,    0.77,   -0.76,    0.34,    1.84
197206,  -99.99,   -3.68,   -2.95,   -3.13,   -3.85,   -2.63,   -3.25,   -3.30,   -2.79,   -4.01,   -3.31,   -2.70,   -2.55,   -3.55,   -2.94,   -2.83,   -3.81,   -3.57,   -2.00
197207,  -99.99,   -3.72,   -2.92,   -1.64,   -3.75,   -3.80,   -2.33,   -2.72,   -1.16,   -3.37,   -4.98,   -3.53,   -4.12,   -2.17,   -2.50,   -2.87,   -2.56,   -2.01,   -0.31
197208,  -99.99,   -0.29,    2.22,    4.41,   -0.41,    0.83,    2.60,    3.15,    4.67,   -0.48,   -0.18,    0.43,    1.30,    2.67,    2.52,    2.41,    3.92,    4.84,    4.49
197209,  -99.99,   -4.04,   -2.53,   -1.48,   -4.11,   -3.23,   -1.96,   -2.43,   -1.53,   -4.11,   -4.14,   -3.58,   -2.82,   -1.60,   -2.35,   -3.44,   -1.39,   -2.04,   -1.02
197210,  -99.99,   -2.71,   -0.64,    1.17,   -2.98,   -0.73,   -0.68,   -0.35,    1.63,   -3.21,   -2.25,   -1.10,   -0.30,   -0.87,   -0.47,   -0.96,    0.27,    0.81,    2.46
197211,  -99.99,    4.18,    6.34,    6.60,    3.87,    6.13,    5.74,    7.73,    5.97,    3.39,    5.44,    6.00,    6.29,    5.98,    5.49,    7.68,    7.79,    6.90,    5.04
197212,  -99.99,   -3.32,   -0.87,   -0.31,   -3.42,   -2.24,   -0.34,   -1.02,    0.01,   -3.83,   -2.06,   -2.73,   -1.65,   -0.21,   -0.48,   -1.12,   -0.92,   -1.32,    1.35
197301,  -99.99,   -2.56,   -6.58,   -5.24,   -2.09,   -6.10,   -6.50,   -5.96,   -5.02,   -1.07,   -5.45,   -5.33,   -7.02,   -6.50,   -6.50,   -6.26,   -5.65,   -7.26,   -2.76
197302,  -99.99,   -8.12,   -7.69,   -4.82,   -8.07,   -8.39,   -8.03,   -6.24,   -4.12,   -7.76,   -9.06,   -8.45,   -8.31,   -8.20,   -7.85,   -6.30,   -6.19,   -4.43,   -3.80
197303,  -99.99,   -2.96,   -3.17,   -1.52,   -2.92,   -3.07,   -3.44,   -2.78,   -0.90,   -2.84,   -3.19,   -3.17,   -2.94,   -3.61,   -3.27,   -2.82,   -2.73,   -1.56,   -0.23
197304,  -99.99,   -7.55,   -7.86,   -5.63,   -7.57,   -8.09,   -7.23,   -7.29,   -5.22,   -7.35,   -8.29,   -7.44,   -8.86,   -6.96,   -7.51,   -8.10,   -6.44,   -5.77,   -4.66
197305,  -99.99,  -10.21,   -7.54,   -3.56,  -10.26,   -9.31,   -7.41,   -6.10,   -2.55,  -10.47,   -9.58,   -9.92,   -8.57,   -7.48,   -7.34,   -6.66,   -5.52,   -3.68,   -1.42
197306,  -99.99,   -3.48,   -3.70,   -2.55,   -3.52,   -3.63,   -3.37,   -3.48,   -2.34,   -3.35,   -4.05,   -3.24,   -4.08,   -4.18,   -2.51,   -3.99,   -2.96,   -3.63,   -1.05
197307,  -99.99,   11.63,   10.22,    7.73,   11.46,   12.68,    9.60,    9.65,    6.58,   11.23,   12.85,   13.27,   11.90,    9.87,    9.27,    9.57,    9.74,    7.31,    5.79
197308,  -99.99,   -5.21,   -3.18,   -2.15,   -5.24,   -4.66,   -3.21,   -1.99,   -1.97,   -5.32,   -4.80,   -4.87,   -4.39,   -3.16,   -3.28,   -1.56,   -2.47,   -1.56,   -2.40
197309,  -99.99,    6.50,    9.99,    8.48,    6.19,    9.58,    9.90,   10.39,    7.61,    5.64,    9.46,    9.56,    9.60,    9.85,    9.96,   10.73,   10.02,    9.19,    5.90
197310,  -99.99,   -0.27,   -0.28,   -0.87,   -0.22,   -0.58,   -0.18,   -0.52,   -1.00,   -0.08,   -1.03,   -0.76,   -0.36,   -0.91,    0.70,   -0.41,   -0.65,   -1.94,    0.00
197311,  -99.99,  -18.43,  -16.89,  -13.22,  -18.50,  -17.72,  -16.45,  -16.22,  -11.96,  -18.55,  -18.23,  -17.74,  -17.69,  -16.05,  -16.93,  -16.92,  -15.44,  -12.49,  -11.40
197312,  -99.99,   -5.82,   -0.70,    1.95,   -6.13,   -2.29,   -0.73,    1.58,    1.47,   -6.62,   -3.26,   -2.84,   -1.57,   -1.26,   -0.08,    0.49,    2.79,    1.09,    1.89
197401,  -99.99,   16.32,    7.64,    2.15,   16.74,   11.15,    7.81,    4.39,    1.08,   17.37,   13.01,   12.36,    9.57,    7.57,    8.11,    4.73,    4.02,    2.70,   -0.67
197402,  -99.99,    0.86,    0.13,    0.75,    0.85,    0.96,   -0.16,    0.28,    0.64,    1.05,   -0.30,    0.90,    1.04,    0.17,   -0.57,   -0.31,    0.94,    0.25,    1.06
197403,  -99.99,    2.01,   -1.04,   -2.73,    2.27,   -0.24,   -1.08,   -2.41,   -2.86,    2.65,    0.11,   -0.46,    0.04,   -1.21,   -0.91,   -2.32,   -2.50,   -2.97,   -2.74
197404,  -99.99,   -5.02,   -6.18,   -5.89,   -4.86,   -6.05,   -6.21,   -6.79,   -5.51,   -4.69,   -5.84,   -6.52,   -5.45,   -5.87,   -6.63,   -7.01,   -6.55,   -6.39,   -4.57
197405,  -99.99,   -6.94,   -8.03,   -5.14,   -6.81,   -7.91,   -8.35,   -7.06,   -4.54,   -6.67,   -7.62,   -8.18,   -7.56,   -8.24,   -8.49,   -7.84,   -6.19,   -5.94,   -3.02
197406,  -99.99,   -2.82,   -3.66,   -3.44,   -2.80,   -2.97,   -4.03,   -3.72,   -3.26,   -2.71,   -3.31,   -2.99,   -2.94,   -3.61,   -4.55,   -3.67,   -3.78,   -3.69,   -2.78
197407,  -99.99,   -5.43,   -4.33,   -6.09,   -5.49,   -4.85,   -3.77,   -4.95,   -6.93,   -5.44,   -5.72,   -4.97,   -4.69,   -4.28,   -3.15,   -5.22,   -4.66,   -5.94,   -7.96
197408,  -99.99,   -7.76,   -8.57,   -9.96,   -7.67,   -8.23,   -8.53,   -9.66,  -10.10,   -7.55,   -8.35,   -8.48,   -7.90,   -8.63,   -8.39,   -9.61,   -9.71,  -10.06,  -10.14
197409,  -99.99,   -7.61,   -8.28,   -9.16,   -7.51,   -8.19,   -8.35,   -8.46,   -9.70,   -7.39,   -8.21,   -8.43,   -7.87,   -8.51,   -8.14,   -8.66,   -8.26,   -7.86,  -11.60
197410,  -99.99,    6.92,   11.85,   18.14,    6.49,   10.31,   11.29,   15.46,   19.97,    5.72,   10.61,   10.56,    9.99,   10.16,   12.68,   15.84,   15.06,   19.01,   20.97
197411,  -99.99,   -5.49,   -4.11,   -2.59,   -5.64,   -4.33,   -4.27,   -2.55,   -2.95,   -5.72,   -5.20,   -4.19,   -4.52,   -4.06,   -4.53,   -3.11,   -1.97,   -2.68,   -3.22
197412,  -99.99,   -9.16,   -5.26,   -2.87,   -9.40,   -6.54,   -4.88,   -4.74,   -2.36,   -9.83,   -7.10,   -7.22,   -5.63,   -5.48,   -4.15,   -5.70,   -3.74,   -1.93,   -2.81
197501,  -99.99,   31.84,   25.62,   17.45,   32.08,   28.39,   25.52,   23.02,   15.26,   32.02,   32.39,   29.88,   26.41,   27.54,   23.02,   24.80,   21.16,   17.59,   12.86
197502,  -99.99,    6.21,    4.19,    5.41,    6.25,    4.92,    4.49,    4.52,    5.74,    6.57,    4.54,    5.90,    3.62,    4.26,    4.79,    4.21,    4.85,    5.37,    6.13
197503,  -99.99,    9.42,    6.27,    4.29,    9.73,    6.67,    6.12,    5.93,    3.67,    9.89,    8.91,    6.87,    6.39,    6.58,    5.55,    6.47,    5.36,    3.21,    4.14
197504,  -99.99,    2.96,    4.22,    4.87,    2.98,    3.03,    4.53,    4.62,    5.01,    2.88,    3.50,    2.79,    3.35,    4.54,    4.53,    4.60,    4.64,    4.71,    5.31
197505,  -99.99,    7.99,    6.60,    5.75,    8.07,    7.34,    5.80,    6.74,    5.64,    8.11,    7.88,    7.31,    7.38,    5.95,    5.62,    7.51,    5.93,    5.20,    6.10
197506,  -99.99,    7.68,    6.37,    6.77,    7.68,    7.29,    6.19,    6.89,    6.37,    7.79,    7.07,    7.73,    6.71,    6.56,    5.73,    6.36,    7.45,    7.46,    5.24
197507,  -99.99,    0.96,   -3.79,   -6.57,    1.44,   -3.26,   -4.06,   -5.67,   -6.43,    2.18,   -2.25,   -3.65,   -2.85,   -3.84,   -4.37,   -4.57,   -6.82,   -5.82,   -7.03
197508,  -99.99,   -5.37,   -3.97,   -2.47,   -5.36,   -4.95,   -3.79,   -3.53,   -1.95,   -5.25,   -5.92,   -5.46,   -4.42,   -3.70,   -3.92,   -3.72,   -3.34,   -2.14,   -1.77
197509,  -99.99,   -3.51,   -3.99,   -4.03,   -3.53,   -3.72,   -3.91,   -4.08,   -3.98,   -3.51,   -3.63,   -3.36,   -4.09,   -3.70,   -4.21,   -4.06,   -4.10,   -3.28,   -4.68
197510,  -99.99,    0.51,    3.22,    5.99,    0.30,    2.64,    2.65,    5.73,    5.95,   -0.09,    2.24,    2.55,    2.73,    1.82,    3.80,    5.41,    6.06,    5.69,    6.20
197511,  -99.99,    1.52,    2.59,    3.44,    1.38,    2.44,    2.52,    3.93,    2.94,    1.29,    1.84,    2.82,    2.06,    1.75,    3.58,    3.59,    4.29,    2.65,    3.23
197512,  -99.99,   -0.43,   -0.14,   -0.91,   -0.35,   -1.05,    0.20,   -0.47,   -0.84,   -0.42,    0.04,   -1.27,   -0.82,    0.08,    0.37,    0.06,   -1.02,   -0.09,   -1.59
197601,  -99.99,   20.15,   17.06,   13.11,   20.24,   18.65,   17.05,   15.00,   12.37,   20.35,   19.72,   19.25,   18.02,   17.26,   16.77,   15.61,   14.37,   13.27,   11.47
197602,  -99.99,   14.38,    6.38,    0.82,   14.98,    8.52,    6.08,    3.37,   -0.25,   16.05,    9.71,    8.67,    8.37,    6.10,    6.06,    4.07,    2.64,    1.35,   -1.85
197603,  -99.99,    2.43,    1.57,    1.72,    2.63,    1.14,    1.35,    1.79,    1.79,    2.85,    1.49,    0.63,    1.67,    1.49,    1.16,    1.97,    1.61,    0.89,    2.68
197604,  -99.99,   -0.36,   -0.90,   -1.12,   -0.29,   -1.16,   -0.49,   -1.28,   -0.99,   -0.10,   -1.23,   -0.99,   -1.33,   -0.17,   -0.93,   -1.23,   -1.33,   -0.84,   -1.13
197605,  -99.99,   -2.25,   -1.28,   -1.05,   -2.35,   -1.62,   -0.96,   -1.45,   -0.58,   -2.44,   -1.90,   -1.35,   -1.91,   -0.53,   -1.55,   -1.09,   -1.84,   -0.48,   -0.68
197606,  -99.99,    2.00,    4.67,    5.46,    1.92,    3.21,    5.28,    5.15,    5.35,    1.73,    2.85,    2.75,    3.70,    4.90,    5.80,    4.67,    5.65,    5.33,    5.37
197607,  -99.99,    0.42,    0.12,   -0.51,    0.42,    0.50,   -0.06,   -0.22,   -0.68,    0.43,    0.37,    0.39,    0.62,    0.20,   -0.38,   -0.25,   -0.19,   -0.70,   -0.66
197608,  -99.99,   -1.77,   -1.47,   -0.43,   -1.67,   -2.22,   -1.69,   -0.75,   -0.18,   -1.76,   -1.12,   -2.76,   -1.64,   -1.60,   -1.80,   -0.63,   -0.88,   -0.14,   -0.22
197609,  -99.99,    1.11,    2.74,    2.28,    0.96,    2.97,    2.60,    2.08,    2.31,    0.70,    2.40,    2.53,    3.43,    2.62,    2.58,    1.94,    2.22,    2.29,    2.34
197610,  -99.99,   -2.09,   -2.03,   -2.21,   -2.07,   -2.12,   -1.85,   -1.97,   -2.68,   -2.11,   -1.82,   -2.24,   -1.99,   -1.66,   -2.07,   -2.54,   -1.39,   -2.81,   -2.54
197611,  -99.99,    2.38,    3.74,    1.61,    2.18,    3.94,    4.03,    3.15,    0.80,    1.81,    4.22,    4.28,    3.57,    3.83,    4.27,    3.27,    3.03,    2.30,   -0.76
197612,  -99.99,   10.75,    8.97,    6.68,   10.76,   10.22,    8.79,    7.81,    6.28,   10.98,    9.50,   10.71,    9.70,    9.77,    7.64,    8.22,    7.39,    7.10,    5.42
197701,  -99.99,    5.92,   -0.13,   -4.30,    6.34,    1.58,   -0.18,   -2.49,   -5.11,    6.90,    3.20,    2.00,    1.14,    0.25,   -0.68,   -2.11,   -2.88,   -4.36,   -5.89
197702,  -99.99,    1.09,   -1.27,   -2.12,    1.34,   -0.77,   -1.76,   -1.98,   -1.98,    1.67,   -0.50,   -1.19,   -0.32,   -1.24,   -2.37,   -1.59,   -2.38,   -2.30,   -1.65
197703,  -99.99,    1.40,    0.48,   -0.43,    1.57,    0.14,    0.66,    0.09,   -0.74,    1.70,    0.81,   -0.14,    0.44,    0.66,    0.66,    0.06,    0.12,   -0.03,   -1.47
197704,  -99.99,    1.98,    1.54,    1.11,    1.98,    1.76,    1.60,    1.48,    0.87,    2.08,    1.38,    1.99,    1.52,    1.23,    2.04,    1.43,    1.53,    1.99,   -0.29
197705,  -99.99,    0.74,   -0.22,   -0.97,    0.86,   -0.26,   -0.05,   -0.87,   -1.02,    1.04,   -0.12,   -0.41,   -0.10,    0.20,   -0.34,   -0.84,   -0.89,   -0.22,   -1.84
197706,  -99.99,    5.16,    6.25,    5.08,    5.09,    6.33,    6.33,    5.36,    4.75,    4.92,    6.02,    5.84,    6.85,    6.79,    5.78,    5.07,    5.65,    4.20,    5.32
197707,  -99.99,    2.10,   -0.61,   -1.83,    2.31,   -0.09,   -0.48,   -1.60,   -1.78,    2.60,    0.69,    0.14,   -0.36,   -0.31,   -0.70,   -1.30,   -1.92,   -2.19,   -1.37
197708,  -99.99,    0.04,   -0.88,   -1.83,    0.07,   -0.61,   -0.39,   -1.82,   -1.90,    0.25,   -0.88,   -0.29,   -0.99,   -0.56,   -0.18,   -1.93,   -1.71,   -2.44,   -1.36
197709,  -99.99,    1.79,    0.74,    0.05,    1.90,    0.56,    1.27,    0.42,   -0.43,    2.06,    1.03,    0.70,    0.39,    1.91,    0.47,   -0.06,    0.92,   -0.19,   -0.67
197710,  -99.99,   -1.93,   -2.62,   -4.17,   -1.89,   -2.36,   -2.71,   -3.36,   -4.21,   -1.78,   -2.51,   -2.27,   -2.47,   -2.36,   -3.15,   -2.64,   -4.11,   -3.75,   -4.67
197711,  -99.99,    7.45,    7.18,    5.17,    7.34,    8.10,    7.03,    6.74,    4.33,    7.13,    8.52,    8.44,    7.71,    6.91,    7.17,    6.78,    6.70,    4.39,    4.26
197712,  -99.99,    2.62,    1.31,    0.26,    2.71,    1.64,    1.27,    0.69,    0.34,    2.69,    2.81,    1.83,    1.41,    1.51,    0.97,    1.23,    0.12,    0.66,    0.01
197801,  -99.99,    0.22,   -4.20,   -5.69,    0.52,   -3.05,   -4.09,   -5.33,   -5.92,    0.93,   -1.69,   -2.57,   -3.61,   -3.96,   -4.24,   -5.38,   -5.29,   -5.35,   -6.49
197802,  -99.99,    3.55,    1.24,   -1.73,    3.80,    1.30,    1.35,   -0.38,   -1.86,    3.96,    2.96,    1.20,    1.41,    1.98,    0.57,    0.69,   -1.49,   -1.91,   -1.80
197803,  -99.99,    7.47,    5.61,    4.09,    7.55,    6.54,    5.30,    5.00,    3.74,    7.66,    6.97,    6.71,    6.34,    5.03,    5.62,    5.27,    4.72,    4.61,    2.86
197804,  -99.99,    8.28,    7.36,    8.07,    8.34,    7.67,    7.31,    7.11,    8.56,    8.36,    8.21,    7.70,    7.64,    7.10,    7.57,    7.06,    7.17,    7.73,    9.39
197805,  -99.99,    8.17,    4.68,    2.75,    8.40,    5.61,    4.77,    3.53,    2.45,    8.93,    5.54,    6.00,    5.16,    4.99,    4.50,    3.76,    3.29,    2.78,    2.11
197806,  -99.99,    1.52,    0.10,   -1.17,    1.74,   -0.11,    0.00,   -0.41,   -1.32,    1.92,    0.73,   -0.47,    0.30,    0.09,   -0.11,    0.05,   -0.89,   -1.16,   -1.47
197807,  -99.99,    4.89,    5.89,    6.04,    4.78,    6.44,    5.07,    6.50,    5.55,    4.57,    5.78,    5.94,    7.00,    5.20,    4.89,    6.09,    6.93,    5.13,    6.00
197808,  -99.99,   10.84,    7.18,    3.81,   11.15,    8.21,    7.07,    5.17,    3.20,   12.00,    7.08,    8.01,    8.43,    6.95,    7.22,    5.37,    4.95,    3.72,    2.66
197809,  -99.99,    1.14,   -1.18,   -0.84,    1.38,   -1.03,   -1.04,   -1.20,   -0.98,    1.84,   -0.80,   -1.04,   -1.02,   -0.70,   -1.48,   -1.80,   -0.57,   -0.66,   -1.32
197810,  -99.99,  -19.49,  -16.98,  -11.17,  -19.48,  -19.04,  -16.96,  -13.73,  -10.29,  -19.23,  -20.63,  -19.59,  -18.45,  -17.70,  -16.00,  -14.61,  -12.81,  -11.76,   -8.74
197811,  -99.99,    4.14,    5.36,    3.11,    3.81,    6.79,    5.26,    3.53,    3.07,    3.14,    6.96,    7.13,    6.43,    6.10,    4.15,    3.86,    3.18,    3.30,    2.83
197812,  -99.99,    1.26,    2.13,    1.00,    1.23,    2.10,    2.15,    1.19,    0.87,    1.12,    1.77,    1.54,    2.70,    2.35,    1.88,    1.15,    1.24,    0.42,    1.35
197901,  -99.99,   10.38,    7.57,    5.43,   10.49,    8.82,    7.74,    6.31,    4.85,   10.62,    9.89,    9.41,    8.18,    7.41,    8.16,    6.12,    6.50,    5.45,    4.23
197902,  -99.99,   -1.42,   -2.74,   -3.36,   -1.35,   -2.52,   -2.54,   -3.38,   -3.09,   -1.06,   -2.67,   -2.12,   -2.94,   -1.98,   -3.27,   -2.92,   -3.86,   -2.67,   -3.54
197903,  -99.99,    8.09,    8.97,    6.99,    7.91,    9.31,    9.61,    8.03,    6.19,    7.76,    8.62,    9.75,    8.84,    9.83,    9.33,    7.58,    8.48,    7.29,    5.06
197904,  -99.99,    3.26,    2.26,    0.22,    3.49,    2.14,    1.72,    1.51,   -0.16,    3.67,    2.61,    1.14,    3.21,    2.08,    1.24,    2.07,    0.93,   -0.29,   -0.03
197905,  -99.99,   -0.19,   -1.47,   -0.75,   -0.08,   -1.24,   -1.74,   -0.91,   -0.76,    0.20,   -1.39,   -1.20,   -1.28,   -1.62,   -1.90,   -1.10,   -0.73,    0.18,   -1.74
197906,  -99.99,    5.39,    5.54,    5.83,    5.26,    6.27,    5.23,    6.12,    5.43,    5.22,    5.41,    6.58,    5.94,    5.79,    4.49,    5.67,    6.57,    6.02,    4.82
197907,  -99.99,    2.03,    3.41,    2.05,    1.94,    3.02,    3.48,    2.71,    2.05,    1.71,    3.05,    2.80,    3.32,    3.05,    4.05,    3.35,    2.06,    2.73,    1.34
197908,  -99.99,    7.62,    7.56,    6.54,    7.59,    7.81,    7.43,    7.34,    6.24,    7.53,    7.90,    7.86,    7.74,    8.08,    6.58,    7.61,    7.07,    6.22,    6.27
197909,  -99.99,   -0.26,   -0.11,   -0.40,   -0.16,   -0.61,   -0.36,   -0.42,    0.12,   -0.15,   -0.22,   -1.03,   -0.06,    0.42,   -1.39,    0.47,   -1.33,   -0.08,    0.32
197910,  -99.99,   -9.97,   -9.58,   -7.77,   -9.77,  -11.07,   -9.38,   -8.67,   -7.37,   -9.50,  -11.08,  -11.57,  -10.41,   -9.69,   -8.97,   -8.85,   -8.50,   -8.11,   -6.60
197911,  -99.99,    6.13,    8.14,    6.56,    5.84,    8.30,    8.29,    7.55,    6.27,    5.34,    8.25,    8.55,    7.97,    8.98,    7.38,    8.01,    7.08,    6.59,    5.95
197912,  -99.99,    7.66,    4.80,    2.92,    7.87,    5.93,    4.38,    3.48,    3.00,    8.19,    6.32,    5.95,    5.90,    5.04,    3.51,    4.19,    2.78,    3.61,    2.37
198001,  -99.99,   11.79,    6.24,    5.12,   12.35,    6.84,    6.46,    5.36,    5.11,   13.21,    8.19,    7.26,    6.29,    6.75,    6.09,    5.61,    5.13,    5.39,    4.83
198002,  -99.99,   -0.10,   -3.27,   -2.72,    0.09,   -2.42,   -3.26,   -3.07,   -2.53,    0.50,   -1.90,   -1.68,   -3.39,   -2.99,   -3.63,   -3.10,   -3.05,   -3.35,   -1.71
198003,  -99.99,  -17.46,  -14.89,   -9.43,  -17.49,  -16.53,  -15.20,  -12.13,   -8.29,  -17.51,  -17.42,  -17.19,  -15.69,  -16.19,  -13.89,  -12.84,  -11.44,   -9.09,   -7.48
198004,  -99.99,    4.73,    6.59,    5.98,    4.54,    6.16,    7.20,    6.72,    5.14,    3.99,    7.12,    6.28,    6.00,    6.57,    8.03,    5.94,    7.48,    5.68,    4.58
198005,  -99.99,    6.84,    8.97,    6.95,    6.67,    8.82,    8.44,    8.69,    6.35,    6.45,    7.71,    8.23,    9.59,    8.68,    8.13,    9.38,    8.03,    6.23,    6.47
198006,  -99.99,    4.27,    4.66,    3.73,    4.27,    4.55,    4.77,    4.43,    3.15,    4.20,    4.59,    4.30,    4.87,    5.29,    4.10,    4.05,    4.80,    3.81,    2.47
198007,  -99.99,    9.46,    9.77,    7.36,    9.32,   10.79,    9.17,    8.04,    7.63,    9.03,   10.67,   10.60,   11.03,    9.18,    9.16,    9.10,    6.86,    8.33,    6.91
198008,  -99.99,    7.88,    4.60,    1.71,    8.10,    5.92,    4.27,    2.70,    1.80,    8.30,    7.14,    6.20,    5.58,    4.08,    4.48,    3.75,    1.53,    2.37,    1.21
198009,  -99.99,    5.75,    3.03,    3.00,    6.07,    3.09,    3.22,    2.90,    3.07,    6.56,    3.76,    3.31,    2.82,    3.34,    3.08,    2.94,    2.85,    3.39,    2.75
198010,  -99.99,    5.47,    2.11,    0.85,    5.74,    3.17,    2.19,    0.59,    0.96,    6.24,    3.41,    3.35,    2.95,    2.86,    1.42,    0.53,    0.65,    1.54,    0.37
198011,  -99.99,    6.45,    7.01,    8.13,    6.36,    7.37,    5.88,    7.55,    9.09,    6.29,    6.68,    7.18,    7.61,    5.01,    6.90,    8.65,    6.29,    8.11,   10.08
198012,  -99.99,   -3.87,   -1.91,   -0.90,   -3.94,   -2.62,   -2.03,   -1.58,   -0.76,   -3.95,   -3.89,   -3.36,   -1.71,   -1.50,   -2.65,   -1.93,   -1.17,   -1.19,   -0.31
198101,  -99.99,    1.63,   -0.75,   -3.07,    1.85,   -0.27,   -0.54,   -1.71,   -3.68,    2.19,    0.22,   -0.03,   -0.56,   -0.42,   -0.68,   -1.54,   -1.90,   -2.80,   -4.58
198102,  -99.99,   -0.03,    2.06,    2.02,   -0.15,    1.59,    1.96,    2.17,    1.68,   -0.16,   -0.14,    0.93,    2.40,    1.91,    2.02,    1.73,    2.67,    1.38,    1.99
198103,  -99.99,    7.30,    7.92,    6.70,    7.22,    7.77,    7.91,    8.37,    5.94,    7.16,    7.48,    7.95,    7.55,    7.26,    8.66,    8.57,    8.15,    7.55,    4.32
198104,  -99.99,    3.76,    2.18,   -0.75,    3.97,    2.65,    2.19,    0.13,   -1.09,    4.05,    3.61,    2.13,    3.28,    2.22,    2.17,    0.34,   -0.11,   -0.52,   -1.67
198105,  -99.99,    3.06,    2.43,    1.35,    3.12,    2.63,    2.35,    1.96,    1.16,    3.25,    2.53,    2.58,    2.68,    2.08,    2.66,    2.19,    1.72,    1.51,    0.80
198106,  -99.99,   -0.29,   -1.30,   -0.70,   -0.14,   -1.69,   -0.93,   -0.76,   -0.81,    0.02,   -0.88,   -1.46,   -1.97,   -0.77,   -1.12,   -1.01,   -0.48,   -1.49,   -0.14
198107,  -99.99,   -2.24,   -1.86,   -0.52,   -2.27,   -2.07,   -1.71,   -1.28,   -0.41,   -2.09,   -3.15,   -1.99,   -2.16,   -1.46,   -2.01,   -1.74,   -0.74,   -1.04,    0.23
198108,  -99.99,   -7.99,   -6.52,   -5.39,   -8.03,   -7.48,   -6.36,   -5.30,   -5.65,   -7.98,   -8.28,   -7.64,   -7.29,   -5.90,   -6.92,   -5.64,   -4.90,   -5.87,   -5.42
198109,  -99.99,   -9.85,   -6.44,   -5.86,  -10.03,   -7.53,   -6.37,   -6.40,   -5.49,  -10.29,   -8.78,   -8.30,   -6.64,   -7.17,   -5.38,   -6.25,   -6.58,   -5.38,   -5.61
198110,  -99.99,    7.04,    7.55,    6.90,    6.90,    8.38,    7.47,    6.28,    7.17,    6.50,    8.84,    8.29,    8.48,    7.57,    7.34,    6.19,    6.39,    7.47,    6.86
198111,  -99.99,    1.11,    3.70,    4.61,    0.81,    3.86,    3.01,    5.01,    4.33,    0.31,    3.24,    3.76,    3.97,    3.67,    2.18,    4.90,    5.15,    4.01,    4.66
198112,  -99.99,   -1.96,   -1.91,   -2.90,   -2.01,   -1.76,   -1.87,   -2.34,   -2.91,   -2.09,   -1.65,   -1.56,   -1.98,   -1.54,   -2.28,   -1.89,   -2.89,   -2.33,   -3.52
198201,  -99.99,   -1.02,   -4.18,   -2.81,   -0.83,   -3.35,   -4.08,   -3.98,   -2.53,   -0.52,   -2.33,   -2.68,   -4.13,   -4.53,   -3.52,   -4.50,   -3.36,   -3.11,   -1.93
198202,  -99.99,   -4.61,   -4.56,   -4.65,   -4.55,   -4.95,   -4.46,   -4.10,   -5.22,   -4.43,   -5.13,   -5.15,   -4.71,   -5.02,   -3.75,   -4.56,   -3.55,   -4.87,   -5.58
